Manufacturer;Model Name;Category;Screen Size;Screen;RAM;GPU;Operating System;Operating System Version;Weight;Price (Euros);Touchscreen;Pixels;CPU Manufacturer;CPU Model;CPU Freq;Storage Prim;Storage Prim Type;Storage Sec
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R5 M430;Windows;10;2.2;745.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 530;Windows;10;2.2;800.00;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 930MX;Windows;10;2.1;879.00;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
Dell;Inspiron 3576;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 520;Windows;10;2.13;767.80;False;2073600.0;Intel;Core i7 8550U;1.8;256GB;SSD;
HP;250 G6;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.86;690.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 530;Windows;10;2.2;870.00;False;2073600.0;Intel;Core i7 8550U;1.8;256GB;SSD;
HP;250 G6;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.96;598.99;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
HP;15-bs017nv (i7-7500U/8GB/256GB/Radeon;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 530;Windows;10;1.91;719.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
Asus;VivoBook S15;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 940MX;Windows;10;1.7;1118.00;False;2073600.0;Intel;Core i7 8550U;1.8;256GB;SSD;
Dell;Inspiron 3576;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 520;Windows;10;2.13;728.00;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
Acer;Aspire E5-576G;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 940MX;Windows;10;2.23;742.00;False;2073600.0;Intel;Core i7 7500U;2.7;1TB;HDD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;8;Intel UHD Graphics 620;Windows;10;2.1;794.00;False;2073600.0;Intel;Core i5 8250U;1.6;1TB;HDD;
Acer;Aspire E5-576G;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 940MX;Windows;10;2.2;832.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
Asus;Vivobook X541UV-DM1217T;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 920MX;Windows;10;2;769.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
